ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,TEMPORARY,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,MAX_INDEX_LENGTH
0,2021-10-21 20:49:46,0,<blank>,0,<blank>,BASE TABLE,N,<blank>,InnoDB,0,<blank>,<blank>,Dynamic,10,colloborations,u206194013_ICOER02MAR20,585,<blank>,16384,def,28,utf8_unicode_ci
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,10,13,1638,0,Dynamic,events,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,0,1,0,0,Dynamic,events_registration,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,174,175,94,0,Dynamic,invitedtalks,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,49152,0,<blank>,<blank>,0,N,<blank>,84,89,585,0,Dynamic,search,def
0,2021-10-21 20:49:46,0,<blank>,0,<blank>,BASE TABLE,N,<blank>,InnoDB,0,<blank>,<blank>,Dynamic,10,extra_curricular,u206194013_ICOER02MAR20,0,<blank>,16384,def,0,utf8_unicode_ci
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,111,113,147,0,Dynamic,photos,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,157,158,104,0,Dynamic,research,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,0,1,0,0,Dynamic,jobs,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,114688,0,<blank>,<blank>,0,N,<blank>,1140,1141,100,0,Dynamic,faculty_profile,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,98304,0,<blank>,<blank>,0,N,<blank>,642,643,153,0,Dynamic,projects_guided,def
0,2021-10-21 20:49:46,0,<blank>,0,<blank>,BASE TABLE,N,<blank>,InnoDB,0,<blank>,<blank>,Dynamic,10,lab_details,u206194013_ICOER02MAR20,1241,<blank>,81920,def,66,latin1_swedish_ci
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,196608,0,<blank>,<blank>,0,N,<blank>,887,888,221,0,Dynamic,publications,def
