id,faculty_id,type,title,year,nameofpublisher
818,166,Published,7. Effect of Thermal Conductivity on Heat Augmentation using Flow Divider Inserts in Forced Convection ,2019,Journal of Emerging Technologies and Innovative Research
819,166,Published,8. Design of Feed system of plastic Injection Mould for Housing Retainer,2019,Journal of Emerging Technologies and Innovative Research
820,167,Published,1.Experimentation using delta winglet type vortex generator attached on tube surface of tube in tube heat exchanger for heat transfer augmentation,2019,Journal of Emerging Technologies and Innovative Research
821,167,Published,2. Evaluation of Performance and Emission of CI Engine with Ethanol Blended Fuel,2019,Journal of Emerging Technologies and Innovative Research
822,168,Published,1.A Study on Sintering Characteristic and Dielectric Properties of Aluminium Nitride Ceramics,2019,Journal of Emerging Technologies and Innovative Research
823,168,Published,2.Heat Augmentation Using Non-metallic Flow Divider Type Inserts in Forced Convection,2019,Journal of Emerging Technologies and Innovative Research
824,168,Published,3.Design and analysis of mechanical components working at high pressure and high temperature,2019,Journal of Emerging Technologies and Innovative Research
825,169,Published,1.Analysis of Belt Conveyer System for Sugar Industry For Weight Reduction,2018,International Journal Of Emergin g Technology and Innovative Research
826,169,Published,2.Performance analysis of Water Cooled Domestic Refrigerator2.,2018,International Journal Of Emergin g Technology and Innovative Research
827,169,Published,3.Parametric and Performance Analysis of Polyhouse,2018,International Journal Of Emergin g Technology and Innovative Research
828,169,Published,4.Analysis of Boiler Blow down Heat Recovery Using Shell & Tube Type Heat Exchanger,2018,International Journal Of Emergin g Technology and Innovative Research
829,169,Published,5.Performamce and Analysis of I C Engine Using Aqua Silencer5.,2018,International Journal Of Emergin g Technology and Innovative Research
830,169,Published,6.Design and Analysis of Rolling mill crusher shaft for weight reduction and strength enhancement,2018,International Journal Of Emergin g Technology and Innovative Research
831,169,Published,7.Analysis of optimization in LED lamp fins by using various cross sections,2017,International Engineering Research Journal Special Edition PGCON-MECH-2017
832,169,Published,8.Experimental Investigation of VCRS with Diffuser at Condenser,2017,International Engineering Research Journal Special Edition PGCON-MECH-2017
833,169,Published,9.Computational Study Of Flow Through A Super Heater For Study The Various Heat Transfer Characteristics,2014,International Journal of Advance Research In Science And Engineering 
834,169,Published,10.Review on Numerical Analysis of flow through superheater of a boiler for enhancement in Heat Transfer Characteristics.,2014,International Journal of Advance Research In Science And Engineering 
835,169,Published,11.Numerical Analysis of flow through super heater for enhancement in heat transfer characteristics,2014,International Journal Of Emergin g Technology and Innovative Research
836,170,Published,1. Design and Fabrication of fixture for differential carriers R 149.5 and R 149.7,2014,International Journal of Research in Advent Technology
837,170,Presented,2. Modelling of Firtree joint in turbine disc,2016,"International Journal of Science, Engineering and Technology Research"
843,172,Published,1. CFD Analysis of Fluid Flow and Heat Transfer in Two Phase Flow Microchannel,2013,International Journal of Engineering Research & Technology
844,172,Published,2. Evaluation of Mechanical properties of Composite material Al6061 reinforced with flyash and seed husk.,2019,Journal of Emerging Technologies and Innovative Research
